corpus_id,paper_id,paper_version,claim_id,claim_uid,status,level,claim,locked_value,source_lock_path,source_lock_sha256,guardrail_class,release_note,source_package
BPB_MBE_HAL_v1_candidate,Paper_0,v0.9,P0.D2.01,P0.D2.01::paper/paper0/source_locks/D2_a0_closure/paper0_D2_a0_closure_source_lock.md,SOURCE_LOCKED,D2_PROVENANCE,Paper 0 contains a source-locked D2 a0 closure/provenance bundle.,D2_audit_complete.py; D2_closure_note.md; D2_audit_run.log; appendix_J_D2_a0_closure.tex,paper/paper0/source_locks/D2_a0_closure/paper0_D2_a0_closure_source_lock.md,6a0a8e02e06f6776807b06968ad3520336399f56d40d00a74450dfdfc5e68acb,SOURCE_LOCK,synthetic row from source-lock decision table,embedded release_index/00_CLAIMS_INDEX.csv from paperV_early_galaxies_v0_3_2_source_ONLY.zip
BPB_MBE_HAL_CORPUS_FINAL_20260506,Paper_I,v0.4.1,P1.01,P1.01::paperI_lowz_BPB_MBE_v0_4_1.pdf::Section12,SOURCE_LOCKED,DICTIONARY_TRANSPORT,The HR branch-projection dictionary is transported into the low-redshift cosmological sector using the Paper 0 rounded anchors and exact MAP1782 values.,s_surv0 rounded=0.800; beta_grow rounded=-0.2067; exact s_surv0=0.7956924397708606; exact beta_grow=-0.2106621406010265,pdfs/paperI_lowz_BPB_MBE_v0_4_1.pdf; Section 12 Main claims,1e8df3fedefc28412f716d7050ac7fdb401b2e70a970be545073c054a460f72c,,Added in final release index because Paper I source package exposes claims in body rather than a separate claim CSV.,manual extraction from final PDF/source text
BPB_MBE_HAL_CORPUS_FINAL_20260506,Paper_I,v0.4.1,P1.02,P1.02::paperI_lowz_BPB_MBE_v0_4_1.pdf::Section12,SOURCE_LOCKED,BACKGROUND_SURVIVAL,"The background gate is passed on SNe, CC and BAO blocks.",Delta chi2 background blocks=-9.215917192290249,pdfs/paperI_lowz_BPB_MBE_v0_4_1.pdf; Section 12 Main claims,1e8df3fedefc28412f716d7050ac7fdb401b2e70a970be545073c054a460f72c,,Added in final release index because Paper I source package exposes claims in body rather than a separate claim CSV.,manual extraction from final PDF/source text
BPB_MBE_HAL_CORPUS_FINAL_20260506,Paper_I,v0.4.1,P1.03,P1.03::paperI_lowz_BPB_MBE_v0_4_1.pdf::Section12,SOURCE_LOCKED,GROWTH_IMPROVEMENT,The growth gate is passed in the f_sigma8 block.,Delta chi2_fsigma8=-7.95761915514985,pdfs/paperI_lowz_BPB_MBE_v0_4_1.pdf; Section 12 Main claims,1e8df3fedefc28412f716d7050ac7fdb401b2e70a970be545073c054a460f72c,,Added in final release index because Paper I source package exposes claims in body rather than a separate claim CSV.,manual extraction from final PDF/source text
BPB_MBE_HAL_CORPUS_FINAL_20260506,Paper_I,v0.4.1,P1.04,P1.04::paperI_lowz_BPB_MBE_v0_4_1.pdf::Section12,SOURCE_LOCKED,KIDS_AMPLITUDE,The compressed KiDS S8 amplitude block supports the full-joint result.,Delta chi2_KiDS=-2.512430082852573; compressed amplitude only,pdfs/paperI_lowz_BPB_MBE_v0_4_1.pdf; Section 12 Main claims,1e8df3fedefc28412f716d7050ac7fdb401b2e70a970be545073c054a460f72c,GUARDRAIL,Added in final release index because Paper I source package exposes claims in body rather than a separate claim CSV.,manual extraction from final PDF/source text
BPB_MBE_HAL_CORPUS_FINAL_20260506,Paper_I,v0.4.1,P1.05,P1.05::paperI_lowz_BPB_MBE_v0_4_1.pdf::Section12,SOURCE_LOCKED,WEYL_RESPONSE,ACT diagnostic requires a positive Weyl-auto closure and supports mu_m != Sigma.,cSigma=0.71 selected by ACT Weyl-closure diagnostic; final ACT block Delta chi2=+3.856824717318244,pdfs/paperI_lowz_BPB_MBE_v0_4_1.pdf; Section 12 Main claims,1e8df3fedefc28412f716d7050ac7fdb401b2e70a970be545073c054a460f72c,,Added in final release index because Paper I source package exposes claims in body rather than a separate claim CSV.,manual extraction from final PDF/source text
BPB_MBE_HAL_CORPUS_FINAL_20260506,Paper_I,v0.4.1,P1.06,P1.06::paperI_lowz_BPB_MBE_v0_4_1.pdf::Section12,SOURCE_LOCKED,LOWZ_MAP_IMPROVEMENT,The full-joint BPB/MBE MAP improves over matched LCDM on the same stack.,chi2_BPB=1782.4420773237218; chi2_LCDM=1798.2712190366963; Delta chi2=-15.829141712974518,pdfs/paperI_lowz_BPB_MBE_v0_4_1.pdf; Section 12 Main claims,1e8df3fedefc28412f716d7050ac7fdb401b2e70a970be545073c054a460f72c,,Added in final release index because Paper I source package exposes claims in body rather than a separate claim CSV.,manual extraction from final PDF/source text
BPB_MBE_HAL_CORPUS_FINAL_20260506,Paper_I,v0.4.1,P1.07,P1.07::paperI_lowz_BPB_MBE_v0_4_1.pdf::Section12,SOURCE_LOCKED,CORPUS_ROLE,Paper I is the first observational descendant of the Paper 0 dictionary with explicit guardrails.,MAP-level low-z closure only; not final Bayesian evidence or full Planck closure,pdfs/paperI_lowz_BPB_MBE_v0_4_1.pdf; Section 12 Main claims,1e8df3fedefc28412f716d7050ac7fdb401b2e70a970be545073c054a460f72c,GUARDRAIL,Added in final release index because Paper I source package exposes claims in body rather than a separate claim CSV.,manual extraction from final PDF/source text
BPB_MBE_HAL_v1_candidate,Paper_II,v0.4.1,P2.D3.01,P2.D3.01::outputs/paperII_D3/paperII_D3_claim_source_lock.csv,SOURCE_LOCKED,PROJECTOR_ALGEBRA,Density-weighted two-sector mixing gives cos^2(theta_W)=a_bg exactly.,residual=0.000e+00,outputs/paperII_D3/paperII_D3_claim_source_lock.csv,b8082d7cb13e1fdef9e67669a20f1a0c99a171b0dbbaba66d664ab1639e4f4a7,,,embedded release_index/00_CLAIMS_INDEX.csv from paperV_early_galaxies_v0_3_2_source_ONLY.zip
BPB_MBE_HAL_v1_candidate,Paper_II,v0.4.1,P2.D3.02,P2.D3.02::outputs/paperII_D3/paperII_D3_claim_source_lock.csv,SOURCE_LOCKED,PREDICTION,The D3 Weyl-matter closure is r_Wdelta=sqrt(a_bg).,sqrt(a_bg)=0.635364421415,outputs/paperII_D3/paperII_D3_claim_source_lock.csv,b8082d7cb13e1fdef9e67669a20f1a0c99a171b0dbbaba66d664ab1639e4f4a7,,,embedded release_index/00_CLAIMS_INDEX.csv from paperV_early_galaxies_v0_3_2_source_ONLY.zip
