step,route_item,artifact,what_to_check
0,Start here,00_README_CORPUS.pdf / 00_README_CORPUS.md,"Corpus thesis, guardrails and reading order."
1,Dictionary derivation,Paper 0 v0.9,"Check HR branch-projection dictionary, s_surv0, beta_grow, parameter-counting and D2 thermal/a0 provenance."
2,Low-z closure,Paper I v0.4.1,"Check the blockwise Delta chi2 table, ACT stress-gate interpretation and cSigma=0.71 ACT diagnostic."
3,Galactic/SPARC test,Paper II v0.4.1,"Check active38 selection, sign rule 33/38, D5/D6 raw-RC amplitude kernel and D7 CAMB tilt gate."
4,CMB dictionary selection,Paper III v0.4.1,"Check vanilla failure, strict face-minus Planck-lite/ACT/Planck-lensing diagnostics and data/prior decomposition."
5,Compact-object gate,Paper IV v0.4.1,Check post-F/no-minus 1.4 Msun EOS table and strict effective tidal-response guardrail.
6,High-z galaxies,Paper V v0.3.2,"Check raw-likelihood loss, physical-peak mapper, loose M_peak prior and data+physicality diagnostic."
7,E_G cross-Weyl probe,Paper VI v0.2.1,"Check k-window correction, mu_m != Sigma_auto != Sigma_cross, r_Wdelta=sqrt(a_bg), and 2-bin chi2 guardrail."
8,Acceleration scale/BTFR,Paper VII v0.3,"Check a0=cH0(1-s0), BTFR normalization, raw RAR interpolation and full-RC guardrails."
9,Final audit,00_FINAL_RELEASE_AUDIT.md,"Check PDF audit table, package checksums and remaining non-blocking tasks."
